time,pc1,pc2,pc3,dpc2
2008-01-01,-0.9307013441635599,0.1853525843253918,0.2818164812857846,
2008-04-01,-0.8106553759500423,0.3147870953827563,0.08901754730360256,0.12943451105736448
2008-07-01,0.06169073189897123,0.29040346509101855,0.00625869055689332,-0.024383630291737735
2008-10-01,0.23654252773810303,0.42213306105783843,-0.012724421385108542,0.13172959596681988
2009-01-01,0.327091994583798,0.5058591501818883,-0.07188583568697648,0.08372608912404989
2009-04-01,-0.0034953641130957003,0.4850631866103159,-0.3946774598027485,-0.02079596357157243
2009-07-01,0.16046319543433585,0.18407737742783903,-0.1140243948837778,-0.30098580918247686
2009-10-01,0.21486618848985994,0.28065260040487194,-0.03134094082924488,0.09657522297703292
2010-01-01,-1.1195557594275662,0.13634143488121842,0.23150426199353458,-0.14431116552365353
2010-04-01,-1.3009712817108614,0.04378776460347078,0.3137416545947582,-0.09255367027774763
2010-07-01,0.9607868524662876,0.21159613767918595,0.16984180515055325,0.16780837307571517
2010-10-01,0.18688197543000107,0.2841138249462345,0.02476321824788119,0.07251768726704855
2011-01-01,-0.28413676457623516,0.44619775160868813,-0.02160648918539021,0.16208392666245364
2011-04-01,-0.014138673580276206,0.3289109291413592,0.06038806965349597,-0.11728682246732891
2011-07-01,0.29635590337329565,0.341241386626576,0.03680999951085351,0.012330457485216773
2011-10-01,0.7763112829923251,0.2810179205830585,0.011656263925820198,-0.06022346604351747
2013-04-01,0.9182130696869669,-0.05081873181813146,0.02276987616377113,-0.33183665240119
2013-07-01,-0.3540990133824833,-0.187805248146935,-0.05064362482957829,-0.13698651632880354
2013-10-01,-0.4115398048383123,-0.029391846728836324,-0.1025277787251131,0.15841340141809868
2014-01-01,1.0588908187047572,0.04606734445490002,0.30661039884361063,0.07545919118373634
2014-04-01,-0.15167012121298562,-0.22266319002908208,-0.04720400209457232,-0.2687305344839821
2014-07-01,-0.5385995911024146,-0.18778545500859556,-0.055217163727063756,0.03487773502048652
2014-10-01,-0.2921562938719844,-0.004968544325059998,0.029322194221709452,0.18281691068353556
2015-01-01,0.48308847395414967,-0.16853762149812246,-0.08088597807185316,-0.16356907717306246
2015-04-01,0.44912312983521074,-0.23333785517239924,-0.006835349474374475,-0.06480023367427679
2015-07-01,-0.07982741465819321,-0.17575279955940415,-0.053940387151979685,0.057585055612995095
2015-10-01,0.013851296001500035,-0.15492823150095214,-0.0006005486001514626,0.02082456805845201
2016-01-01,0.4446862522168338,-0.14816153274025767,-0.02435685864553161,0.006766698760694467
2016-04-01,0.3364679121104208,-0.23505907929185677,0.031217189057549888,-0.08689754655159909
2016-07-01,0.027922857746580876,-0.11163079925724029,0.06098404130721047,0.12342828003461648
2016-10-01,-0.28932041987137036,-0.0942200598322449,-0.04500310271541963,0.01741073942499538
2017-01-01,-0.3824836032794605,-0.0661428623239928,-0.1029100830221994,0.028077197508252105
2017-04-01,0.47341040362934406,-0.16971806649965604,0.06818613532654894,-0.10357520417566324
2017-07-01,-0.02915729380924481,-0.060626129224106595,-0.01148458137174213,0.10909193727554944
2017-10-01,-0.12794261090576287,-0.05140972554148382,-0.035759762839513876,0.009216403682622776
2018-01-01,-0.1677608438078586,-0.11167096542488553,-0.08539382285430275,-0.06026123988340171
2018-04-01,0.07860789727463802,-0.1242506207573526,-0.0739928132341845,-0.012579655332467077
2018-07-01,0.05921574552855646,-0.10051479076449565,0.008009454906415137,0.02373582999285695
2018-10-01,-0.9305799685100284,-0.18080682739655973,0.1659793745536886,-0.08029203663206408
2019-01-01,-0.3262751703642992,-0.10485610461027806,-0.0759678639002539,0.07595072278628168
2019-04-01,-0.0024795307681686474,-0.123314105405814,-0.09009292209429631,-0.018458000795535945
2019-07-01,-0.20169933761395686,-0.03989840070791573,-0.07815844825092189,0.08341570469789827
2019-10-01,-0.7186769706655203,-0.09486008832331283,-0.07148325073850614,-0.0549616876153971
2020-01-01,-0.2296233075390144,-0.13125520552657788,-0.08557363986988609,-0.03639511720326505
2020-04-01,1.050547472063153,-0.1339923048152003,0.09900183061787882,-0.0027370992886224244
2020-07-01,0.13200455581118797,-0.08170983493085027,-0.02450486170588473,0.052282469884350036
2020-10-01,-0.4135865002887775,-0.021861560648458234,-0.12876745128200895,0.05984827428239203
2021-01-01,-0.2610814726300901,-0.0010313388325844386,-0.19758072378437497,0.020830221815873795
2021-04-01,0.5137596416331028,-0.16058096375967423,0.029502248962001154,-0.1595496249270898
2021-07-01,0.23852118465253302,-0.08877861623382,0.013564558465171572,0.07180234752585424
2021-10-01,-0.35754823614483433,-0.06771297211209282,-0.03841221097116421,0.02106564412172718
2022-01-01,0.32517017148076,-0.08728198880966476,0.01695926867061992,-0.01956901669757194
2022-04-01,0.6193862362315454,-0.18209647912828597,0.03637202762678715,-0.09481449031862121
2022-07-01,0.5930809001701065,-0.06569410323952996,0.13032021204581845,0.11640237588875602
2022-10-01,-0.24166305367813012,-0.07282690971804628,0.007247372728617307,-0.007132806478516329
2023-01-01,-0.629986313407279,-0.1799663516674217,-0.061621888069643305,-0.10713944194937541
2023-04-01,0.473403332573894,-0.16761921353361542,0.024540754489744465,0.012347138133806279
2023-07-01,0.21803815117641223,-0.08608865026062151,0.03815860194182186,0.0815305632729939
2023-10-01,-0.1269687190168538,-0.025976839901064697,-0.039364872354430425,0.060111810359556817
2024-01-01,-0.3401359447529897,-0.06875219742986483,-0.013587179663263171,-0.04277535752880013
2024-04-01,0.46310477766350133,-0.1899234707189721,0.06593099247128809,-0.12117127328910726
