time,ln_gdp_sa,ln_gdp_seasonal_factor,dln_gdp_sa,city_mean_light,region_mean_light,ln_city,ln_region,GDP,ln_gdp,pc1,pc2,pc3,dpc2,quarter,dln_city,dln_region
2008-01-01,7.47735112213244,-0.0781671289950431,,12.553246574558225,0.953014971687131,2.5299793233228525,-0.048124665391388,1634.65,7.399183993137396,-0.93070134416356,0.1853525843253918,0.2818164812857846,,1,,
2008-04-01,7.498888255948337,-0.0534823815578785,0.0215371338158973,13.28081819458722,0.9868126160438704,2.5863207531886,-0.0132751096053867,1711.98,7.445405874390459,-0.8106553759500423,0.3147870953827563,0.0890175473036025,0.1294345110573644,2,0.05634142986574764,0.0348495557860013
2008-07-01,7.529318581403463,0.0741356196751884,0.0304303254551259,13.19118980661263,0.9726647649177936,2.579549167862846,-0.0277157937601808,2005.1099999999997,7.603454201078652,0.0616907318989712,0.2904034650910185,0.0062586905568933,-0.0243836302917377,3,-0.00677158532575417,-0.0144406841547941
2008-10-01,7.554362059947248,0.0741166553649376,0.0250434785437851,13.697326585763236,1.017466293483704,2.6172006740665346,0.017315510988566,2055.92,7.628478715312186,0.236542527738103,0.4221330610578384,-0.0127244213851085,0.1317295959668198,4,0.03765150620368862,0.045031304748746795
2009-01-01,7.565732213729896,-0.1035747138652232,0.0113701537826473,12.906906790116,0.98097976853,2.557762578173298,-0.0192034429423833,1740.9,7.46215749986467,0.327091994583798,0.5058591501818883,-0.0718858356869764,0.0837260891240498,1,-0.059438095893236564,-0.0365189539309493
2009-04-01,7.599351994679424,-0.0546019845409872,0.033619780949528,13.654976146284,1.0157691541356,2.6141040080390456,0.015646112843618,1890.79,7.54475001013843,-0.0034953641130957,0.4850631866103159,-0.3946774598027485,-0.0207959635715724,2,0.05634142986574764,0.034849555786001296
2009-07-01,7.625940112339161,0.0853492095890036,0.0265881176597373,13.562822674872,1.00120615551,2.607332422713292,0.0012054286888237,2233.42,7.71128932192816,0.1604631954343358,0.184077377427839,-0.1140243948837778,-0.3009858091824768,3,-0.006771585325753726,-0.014440684154794298
2009-10-01,7.665978716143179,0.0902679963485656,0.0400386038040183,14.083218748728,1.0473223178244002,2.64498392891698,0.0462367334375708,2336.12,7.75624671249174,0.2148661884898599,0.2806526004048719,-0.0313409408292448,0.0965752229770329,4,0.03765150620368818,0.0450313047487471
2010-01-01,7.719361087633377,-0.1296055245436305,0.0533823714901977,13.863130247536,1.29018008708,2.6292328158476006,0.2547818110176711,1977.83,7.58975556308974,-1.1195557594275662,0.1363414348812184,0.2315042619935345,-0.1443111655236535,1,-0.015751113069379485,0.20854507758010032
2010-04-01,7.769357210479358,-0.0561355035127334,0.0499961228459806,14.666621206864,1.3359349272816,2.685574245713348,0.2896313668036725,2237.74,7.71322170696662,-1.3009712817108614,0.0437877646034707,0.3137416545947582,-0.0925536702777476,2,0.056341429865747195,0.03484955578600141
2010-07-01,7.73014403571111,0.0964826423572302,-0.039213174768248,14.567640436512,1.31678173836,2.678802660387594,0.2751906826488782,2506.46,7.82662667806834,0.9607868524662876,0.2115961376791859,0.1698418051505532,0.1678083730757151,3,-0.006771585325753726,-0.014440684154794325
2010-10-01,7.8265041137863856,0.1068912467411947,0.0963600780752758,15.126590669088,1.3774335032784002,2.7164541665912827,0.3202219873976253,2788.88,7.93339536052758,0.186881975430001,0.2841138249462345,0.0247632182478811,0.0725176872670485,4,0.03765150620368862,0.045031304748747114
2011-01-01,7.917566713802314,-0.1553535543779816,0.0910626000159284,14.393545427056,1.34705705073,2.66677987186274,0.2979222504511468,2350.1,7.76221315942433,-0.2841367645762351,0.4461977516086881,-0.0216064891853902,0.1620839266624536,1,-0.0496742947285429,-0.02229973694647852
2011-04-01,7.945462282462826,-0.0574579187340288,0.0278955686605124,15.227778635344,1.3948289708796,2.723121301728488,0.3327718062371482,2665.1200000000003,7.88800436372879,-0.0141386735802762,0.3289109291413592,0.0603880696534959,-0.1172868224673289,2,0.05634142986574808,0.03484955578600141
2011-07-01,8.01094571556593,0.1073805517703701,0.0654834331031031,15.125010776352,1.37483142291,2.716349716402734,0.318331122082354,3355.4000000000005,8.08438360763488,0.2963559033732956,0.341241386626576,0.0368099995108535,0.0123304574852167,3,-0.006771585325753726,-0.014440684154794214
2011-10-01,7.925920273952769,0.1233279676822452,-0.0850254416131601,15.705346921248,1.4381569914804002,2.7540012226064223,0.363362426831101,3131.4399999999987,8.08438360763488,0.7763112829923251,0.2810179205830585,0.0116562639258201,-0.0602234660435174,4,0.03765150620368818,0.045031304748747
2012-01-01,8.018197908531379,-0.1843243466362791,0.0922776345786093,13.731579388,1.29003784725,2.6196982450651647,0.2546715568966904,2524.69,7.91463597705065,,,,,1,-0.13430297754125764,-0.10869086993441057
2012-04-01,8.054060358241399,-0.0646999289102003,0.0358624497100201,14.527445812000002,1.33578764307,2.6760396749309123,0.2895211126826919,2949.4100000000003,7.91463597705065,,,,,2,0.05634142986574764,0.03484955578600146
2012-07-01,8.079094986860046,0.1231874397138244,0.0250346286186466,14.429404296,1.31663656575,2.669268089605158,0.2750804285278976,3649.2700000000004,8.20228242657387,,,,,3,-0.00677158532575417,-0.01444068415479427
2012-10-01,8.1076416708532,0.1421190343299426,0.028546683993154,14.983050504,1.3772816439300002,2.706919595808847,0.3201117332766446,3826.709999999999,8.24976070518314,,,,,4,0.03765150620368862,0.045031304748747
2013-01-01,8.113116656947737,-0.1934332471018836,0.0054749860945371,14.237199347816,1.43834111427,2.6558582116278417,0.3634904455421046,2750.9,7.91968340984585,,,,,1,-0.05106138418100503,0.04337871226545997
